00:00:00,7e0:01:0f,7e0:01:42,7e0:01:0d,7e0:01:10,7e0:01:0b,7e1:15:1e,7e0:01:0c,7e0:01:04
9a 22 0c 00,34,37 e4,19,08 07,6b,,17 bc,48
86 26 0c 00,34,37 f7,19,08 3c,6b,,17 b8,4d
73 2a 0c 00,34,37 f7,19,08 47,6e,,18 cc,58
56 2e 0c 00,34,37 f7,1a,08 36,6e,,18 c4,58
3e 32 0c 00,34,37 e4,1a,08 2e,6e,,18 5c,50
27 36 0c 00,34,38 0b,1a,08 15,6d,,18 a8,50
0e 3a 0c 00,34,37 f7,1a,08 65,6d,,18 3c,47
f6 3d 0c 00,34,37 f7,1a,08 86,6e,,19 08,5a
de 41 0c 00,34,38 0b,1a,08 47,6e,,18 c0,56
c6 45 0c 00,34,37 f7,1b,08 6b,6e,,19 4c,56
ae 49 0c 00,35,37 f7,1c,08 92,6f,,1a 08,45
96 4d 0c 00,35,37 f7,1c,08 f3,6e,,1a 18,3c
7d 51 0c 00,35,37 82,1c,08 cc,6e,,1a 28,3d
3e 59 0c 00,35,37 e4,,08 f8,6e,,1a 10,3c
53 5d 0c 00,35,37 f7,1c,,6f,,1a 6c,3c
6f 61 0c 00,35,37 f7,1c,09 11,,,1a 70,3c
aa 61 0c 00,35,37 f7,1d,09 22,,,1a 84,3a
9b 65 0c 00,35,37 e4,1d,09 09,6f,,1a 98,39
83 69 0c 00,35,37 f7,1d,09 11,6f,,1a b8,3c
6c 6d 0c 00,35,37 f7,1d,09 1c,6f,,1a a0,3c
53 71 0c 00,35,38 0b,1d,09 25,6e,,1a 7c,2e
3b 75 0c 00,35,38 0b,1b,0c 18,6e,,18 54,00
23 79 0c 00,35,37 d0,1a,0b ba,6d,,16 d8,13
0b 7d 0c 00,35,37 f7,18,0b 8d,6c,,15 f8,05
f3 80 0c 00,35,37 e4,16,0a 93,6a,,14 ac,00
da 84 0c 00,35,37 f7,15,09 2d,69,,12 74,00
c2 88 0c 00,35,37 f7,13,07 ee,67,,10 a8,02
aa 8c 0c 00,35,37 a9,10,06 e6,66,,0e cc,0f
92 90 0c 00,35,37 a9,0e,05 35,65,,0c 5c,25
7a 94 0c 00,35,37 a9,0c,04 03,63,,0b e8,55
62 98 0c 00,35,37 f7,0b,03 d4,63,,0c 08,59
4a 9c 0c 00,35,37 a9,09,03 a7,63,,0c 1c,63
31 a0 0c 00,34,37 a9,05,03 be,63,,0c 18,6a
19 a4 0c 00,34,37 96,00,03 b8,63,,0c 3c,66
